episode,reward
0,-0.5
1,-0.5
2,3.6
3,3.5
4,3.8
5,3.9
6,4.0
7,3.6
8,3.7
9,3.5
10,-0.5
11,4.0
12,-0.5
13,3.6
14,-0.30000000000000004
15,3.7
16,-0.7
17,-0.2
18,3.5
19,3.7
20,-0.6
21,3.9
22,-0.4
23,-0.5
24,-0.30000000000000004
25,-0.4
26,3.3
27,3.9
28,3.4
29,3.9
30,3.5
31,-0.7
32,3.6
33,3.6
34,-0.2
35,-0.6
36,-0.4
37,3.9
38,-0.5
39,3.8
40,-0.5
41,3.6
42,-0.7999999999999999
43,-0.4
44,-0.4
45,4.0
46,-0.8999999999999999
47,-0.2
48,-0.30000000000000004
49,3.7
50,2.9000000000000004
51,-0.1
52,3.7
53,-0.5
54,3.9
55,-0.5
56,-0.6
57,3.8
58,3.9
59,3.9
60,3.7
61,3.7
62,-0.2
63,-0.4
64,-0.4
65,3.7
66,-0.7999999999999999
67,-0.4
68,3.7
69,3.7
70,3.7
71,-0.4
72,3.8
73,-0.1
74,3.3
75,-0.5
76,-0.5
77,-0.5
78,-0.7
79,3.7
80,3.5
81,-0.7
82,-0.4
83,3.9
84,3.5
85,-0.7
86,3.6
87,3.6
88,3.8
89,-0.30000000000000004
90,3.6
91,4.0
92,3.4
93,3.8
94,-0.2
95,3.7
96,-0.6
97,-0.7
98,-0.4
99,3.5
100,3.7
101,3.6
102,-0.2
103,3.8
104,3.8
105,-0.2
106,3.9
107,3.8
108,3.4
109,-0.30000000000000004
110,3.6
111,3.7
112,-0.4
113,3.8
114,3.9
115,-0.7
116,3.6
117,3.8
118,-0.5
119,-0.4
120,3.9
121,3.9
122,-0.5
123,3.8
124,3.8
125,3.8
126,-0.7
127,3.4
128,3.3
129,3.5
130,-0.30000000000000004
131,-0.8999999999999999
132,3.4
133,-0.7
134,3.7
135,3.7
136,3.2
137,-0.5
138,3.5
139,3.7
140,3.5
141,3.6
142,3.8
143,3.6
144,3.4
145,-2.0000000000000004
146,-1.4000000000000001
147,-0.6
148,-0.6
149,-0.5
150,-0.4
151,-0.30000000000000004
152,-0.4
153,-0.4
154,3.5
155,2.8
156,-0.2
157,3.8
158,-0.9999999999999999
159,3.5
160,-0.30000000000000004
161,3.6
162,-0.7
163,3.8
164,-0.30000000000000004
165,-0.2
166,-0.4
167,3.7
168,3.7
169,-0.6
170,-0.7
171,3.3
172,-0.30000000000000004
173,-0.4
174,3.9
175,-0.4
176,-0.5
177,-0.5
178,-0.6
179,3.8
180,3.6
181,3.7
182,-0.4
183,3.5
184,-0.6
185,-0.6
186,3.6
187,3.6
188,3.4
189,-0.7
190,3.4
191,-0.4
192,3.3
193,3.7
194,-0.5
195,3.6
196,3.7
197,-0.4
198,3.9
199,-0.6
200,3.4
201,-0.7999999999999999
202,-0.7
203,3.3
204,3.2
205,-0.30000000000000004
206,3.8
207,-0.6
208,3.7
209,-0.7
210,-0.7
211,3.5
212,-0.30000000000000004
213,3.6
214,3.6
215,-1.0999999999999999
216,3.2
217,3.1
218,-0.4
219,-0.4
220,3.6
221,-0.7
222,3.5
223,-0.6
224,-0.7999999999999999
225,-0.6
226,3.8
227,-0.7999999999999999
228,3.0
229,3.7
230,-0.6
231,3.5
232,3.7
233,-0.5
234,3.1
235,-0.5
236,-0.7999999999999999
237,3.1
238,-0.30000000000000004
239,3.1
240,3.3
241,-0.6
242,3.8
243,-0.2
244,-0.4
245,-0.7
246,-0.6
247,-0.5
248,3.6
249,-0.5
250,3.6
251,3.5
252,-0.7999999999999999
253,-0.4
254,-0.2
255,3.6
256,3.2
257,-0.4
258,-0.5
259,3.7
260,3.5
261,3.6
262,3.7
263,3.6
264,-0.30000000000000004
265,3.2
266,3.3
267,-0.5
268,3.6
269,-0.6
270,-0.4
271,-0.6
272,-0.7
273,-0.4
274,-0.4
275,3.7
276,-0.4
277,3.2
278,-0.4
279,-0.4
280,-0.30000000000000004
281,3.6
282,-0.5
283,-0.7
284,3.6
285,3.7
286,-0.7
287,-0.7
288,-0.6
289,-0.7999999999999999
290,-0.5
291,3.8
292,-0.8999999999999999
293,3.6
294,3.5
295,-0.7
296,-0.30000000000000004
297,-1.0999999999999999
298,-0.7
299,-0.5
300,3.5
301,-0.8999999999999999
302,-0.7
303,3.8
304,-0.6
305,-0.4
306,3.4
307,3.8
308,-0.7
309,-0.5
310,3.5
311,-0.1
312,-0.30000000000000004
313,-0.2
314,3.5
315,-0.30000000000000004
316,3.5
317,-0.30000000000000004
318,-0.2
319,-0.6
320,3.8
321,-0.2
322,3.5
323,3.7
324,3.4
325,3.4
326,-0.4
327,3.7
328,-0.2
329,-0.7
330,3.5
331,3.4
332,3.6
333,-0.4
334,3.3
335,-0.7
336,-0.7
337,3.7
338,-0.6
339,-0.4
340,3.8
341,-0.5
342,-0.7
343,-0.7
344,-0.4
345,3.4
346,3.8
347,3.7
348,-0.5
349,3.2
350,-0.7
351,3.6
352,-0.5
353,3.5
354,3.6
355,3.4
356,-1.2
357,-0.5
358,-0.6
359,3.5
360,3.8
361,3.6
362,-0.4
363,-0.7
364,-0.4
365,-0.2
366,3.5
367,3.5
368,-0.6
369,3.8
370,-0.5
371,3.5
372,3.5
373,-0.4
374,3.5
375,-0.7999999999999999
376,3.7
377,-0.30000000000000004
378,-0.4
379,-0.4
380,-0.4
381,-0.4
382,-0.4
383,-0.2
384,-0.5
385,3.8
386,-0.4
387,3.7
388,3.8
389,-0.4
390,3.6
391,-0.4
392,3.6
393,3.3
394,-0.2
395,3.5
396,3.5
397,3.4
398,-0.2
399,3.6
400,-0.4
401,-0.30000000000000004
402,3.7
403,-0.30000000000000004
404,3.3
405,-0.1
406,-0.6
407,3.9
408,3.2
409,3.7
410,-0.5
411,3.4
412,3.5
413,-0.4
414,3.3
415,3.3
416,-0.4
417,3.5
418,-0.5
419,3.6
420,-0.7
421,-0.5
422,-0.7999999999999999
423,3.5
424,3.7
425,-0.7
426,3.6
427,3.6
428,3.1
429,3.4
430,3.5
431,3.4
432,3.8
433,-0.6
434,3.4
435,-0.7
436,3.5
437,3.7
438,-0.9999999999999999
439,3.7
440,-0.7999999999999999
441,3.6
442,3.7
443,3.5
444,3.6
445,-0.5
446,3.8
447,-0.6
448,3.7
449,3.5
450,3.1
451,-0.7999999999999999
452,-0.5
453,3.0
454,3.3
455,3.6
456,3.5
457,3.4
458,3.3
459,3.6
460,-0.6
461,3.6
462,3.6
463,-0.4
464,3.3
465,-0.30000000000000004
466,3.8
467,-0.7
468,-0.30000000000000004
469,-0.6
470,3.4
471,3.8
472,-0.4
473,3.5
474,-0.30000000000000004
475,3.8
476,3.7
477,3.5
478,-0.4
479,3.5
480,3.5
481,-0.6
482,-0.5
483,3.4
484,3.7
485,3.6
486,-0.5
487,-0.2
488,3.8
489,3.6
490,3.5
491,-0.5
492,3.7
493,3.8
494,3.4
495,3.5
496,3.8
497,3.8
498,-0.4
499,3.7
500,3.8
501,3.6
502,-0.5
503,-0.5
504,-0.6
505,3.6
506,-0.4
507,3.6
508,-0.7
509,-0.30000000000000004
510,-0.5
511,3.4
512,3.4
513,3.7
514,-0.2
515,3.5
516,3.4
517,-0.5
518,3.4
519,3.2
520,-0.2
521,3.7
522,3.5
523,-0.6
524,3.2
525,-0.7999999999999999
526,3.7
527,3.5
528,3.7
529,3.3
530,3.5
531,-0.7
532,3.5
533,-0.30000000000000004
534,-0.5
535,3.9
536,-0.6
537,-0.4
538,3.8
539,-0.30000000000000004
540,3.8
541,-0.30000000000000004
542,3.4
543,-0.2
544,3.8
545,3.6
546,3.7
547,3.6
548,-0.30000000000000004
549,-0.4
550,-0.9999999999999999
551,-0.5
552,-0.1
553,3.7
554,-0.30000000000000004
555,3.2
556,-0.6
557,-0.30000000000000004
558,3.7
559,3.7
560,-0.4
561,-0.5
562,3.6
563,3.8
564,3.7
565,3.6
566,-0.5
567,-0.30000000000000004
568,-0.4
569,-0.2
570,-1.0999999999999999
571,-0.30000000000000004
572,-0.8999999999999999
573,3.5
574,-0.5
575,-0.6
576,3.8
577,-0.5
578,3.8
579,-0.5
580,3.7
581,3.8
582,-0.30000000000000004
583,-0.5
584,3.5
585,3.6
586,-0.2
587,-0.30000000000000004
588,-0.30000000000000004
589,3.7
590,-0.30000000000000004
591,-0.30000000000000004
592,-0.6
593,3.7
594,-0.7
595,-0.5
596,-0.4
597,-0.1
598,3.8
599,3.4
600,-0.6
601,-0.5
602,3.2
603,-0.30000000000000004
604,3.8
605,-0.30000000000000004
606,3.6
607,-0.30000000000000004
608,-0.5
609,-0.8999999999999999
610,3.7
611,3.8
612,-0.4
613,3.5
614,3.5
615,-0.7
616,-0.7
617,-0.30000000000000004
618,3.9
619,-0.6
620,3.9
621,3.7
622,-0.4
623,-0.9999999999999999
624,-0.5
625,3.5
626,3.7
627,3.5
628,4.0
629,-0.30000000000000004
630,3.9
631,3.4
632,3.7
633,3.5
634,3.8
635,-0.4
636,-0.30000000000000004
637,-0.8999999999999999
638,3.7
639,-0.5
640,-0.5
641,-0.7999999999999999
642,-0.4
643,3.9
644,-0.4
645,4.0
646,-0.30000000000000004
647,-0.7
648,3.8
649,-0.4
650,-0.6
651,3.5
652,3.8
653,-0.5
654,-0.2
655,3.8
656,3.8
657,3.6
658,3.5
659,-0.4
660,-0.4
661,-0.2
662,-0.7999999999999999
663,-0.2
664,3.9
665,3.9
666,-0.30000000000000004
667,3.7
668,-0.7
669,-0.5
670,3.3
671,-0.5
672,-0.1
673,3.8
674,3.8
675,-0.30000000000000004
676,3.5
677,3.5
678,-0.6
679,3.9
680,-0.7
681,-0.4
682,-0.7999999999999999
683,-0.5
684,-0.6
685,3.9
686,3.6
687,-0.7
688,-0.2
689,3.6
690,-0.4
691,-0.30000000000000004
692,-0.5
693,-0.4
694,-0.5
695,-0.30000000000000004
696,-0.2
697,3.4
698,-0.2
699,3.5
700,3.9
701,3.7
702,3.8
703,3.6
704,3.7
705,3.4
706,3.9
707,-0.4
708,3.5
709,-0.30000000000000004
710,-0.4
711,-0.5
712,-0.5
713,-0.6
714,-0.30000000000000004
715,3.7
716,3.4
717,-0.30000000000000004
718,3.7
719,3.6
720,-0.1
721,3.8
722,3.6
723,3.5
724,-0.6
725,-0.30000000000000004
726,3.5
727,-0.5
728,-0.30000000000000004
729,3.2
730,3.9
731,-0.7
732,3.6
733,-0.30000000000000004
734,-0.2
735,-0.2
736,3.2
737,-0.30000000000000004
738,-0.2
739,-0.2
740,-0.6
741,-0.5
742,-0.7
743,3.2
744,3.3
745,-0.2
746,-0.7
747,-0.4
748,3.6
749,-0.5
750,-0.2
751,-0.4
752,-0.4
753,3.9
754,-0.4
755,3.5
756,-0.30000000000000004
757,3.8
758,3.6
759,-0.6
760,3.8
761,-0.4
762,3.7
763,3.3
764,-0.30000000000000004
765,3.7
766,3.2
767,3.4
768,-0.30000000000000004
769,3.0
770,3.5
771,3.6
772,-0.30000000000000004
773,3.8
774,-0.4
775,-0.30000000000000004
776,-0.9999999999999999
777,3.8
778,-0.30000000000000004
779,-0.6
780,3.7
781,3.7
782,3.8
783,3.2
784,3.9
785,-0.6
786,3.7
787,3.9
788,-0.4
789,3.7
790,3.3
791,3.8
792,3.7
793,-0.4
794,3.6
795,-0.2
796,-0.5
797,-1.2
798,3.6
799,-0.4
800,-0.6
801,-0.4
802,3.8
803,-0.7
804,3.8
805,-0.7999999999999999
806,3.7
807,3.7
808,-0.30000000000000004
809,-0.4
810,-0.6
811,3.5
812,-0.4
813,3.8
814,-0.7
815,3.4
816,3.6
817,3.6
818,3.4
819,3.8
820,-0.2
821,3.9
822,3.4
823,3.7
824,4.0
825,-0.4
826,-0.7
827,-0.4
828,3.8
829,3.9
830,-0.4
831,-0.30000000000000004
832,3.7
833,-0.6
834,-0.2
835,-0.7
836,3.4
837,-0.5
838,3.8
839,3.9
840,3.8
841,-0.4
842,3.8
843,3.5
844,-0.2
845,-0.5
846,3.7
847,3.7
848,-0.6
849,-0.4
850,3.7
851,-0.5
852,3.7
853,-0.5
854,-0.30000000000000004
855,3.7
856,-0.30000000000000004
857,-0.7
858,3.7
859,3.8
860,3.5
861,-0.4
862,-0.30000000000000004
863,4.0
864,3.7
865,3.9
866,-0.5
867,-0.5
868,-0.4
869,3.4
870,3.4
871,3.5
872,-0.5
873,3.7
874,-0.7
875,3.8
876,3.5
877,3.9
878,-0.30000000000000004
879,-0.30000000000000004
880,3.6
881,3.5
882,3.7
883,-0.30000000000000004
884,3.8
885,3.7
886,3.8
887,-0.30000000000000004
888,3.9
889,-0.30000000000000004
890,3.4
891,-0.5
892,-0.5
893,3.9
894,3.7
895,3.9
896,3.7
897,3.8
898,3.6
899,3.5
900,3.6
901,-0.4
902,-0.6
903,-0.30000000000000004
904,3.6
905,-0.5
906,-0.5
907,-0.7999999999999999
908,3.2
909,3.5
910,-0.7
911,-0.30000000000000004
912,-0.5
913,-0.4
914,-0.4
915,3.7
916,3.8
917,-0.7999999999999999
918,3.5
919,3.5
920,-0.4
921,3.4
922,3.6
923,-0.4
924,3.9
925,3.8
926,-0.4
927,-0.30000000000000004
928,-0.6
929,-0.4
930,-0.4
931,-0.7999999999999999
932,-0.6
933,-0.5
934,-0.8999999999999999
935,-0.5
936,3.6
937,-0.6
938,-0.5
939,4.0
940,-0.5
941,-0.4
942,-0.7999999999999999
943,3.7
944,-0.6
945,-0.6
946,3.7
947,-0.7999999999999999
948,-0.5
949,3.8
950,-0.7999999999999999
951,-0.4
952,3.3
953,3.7
954,3.6
955,3.3
956,-0.30000000000000004
957,-0.4
958,-0.6
959,-0.7
960,-0.5
961,3.5
962,-0.5
963,3.6
964,3.8
965,3.8
966,3.8
967,-0.2
968,3.7
969,3.9
970,-0.5
971,3.8
972,-0.30000000000000004
973,3.7
974,3.3
975,3.5
976,3.7
977,-0.4
978,-0.5
979,-0.5
980,-0.30000000000000004
981,-0.4
982,-0.30000000000000004
983,3.7
984,-0.5
985,3.8
986,3.9
987,-0.4
988,3.6
989,-0.5
990,-0.30000000000000004
991,-0.7
992,-0.4
993,3.9
994,3.7
995,-0.5
996,3.9
997,3.8
998,3.8
999,3.6
1000,-0.30000000000000004
1001,3.6
1002,-0.6
1003,-0.30000000000000004
1004,3.7
1005,3.6
1006,3.7
1007,3.6
1008,3.6
1009,-0.6
1010,-0.6
1011,-0.4
1012,-0.8999999999999999
1013,-0.4
1014,-0.7
1015,-0.6
1016,3.8
1017,3.7
1018,3.6
1019,-0.8999999999999999
1020,3.5
1021,-0.6
1022,-0.4
1023,-0.2
1024,3.7
1025,-0.30000000000000004
1026,3.7
1027,3.8
1028,3.0
1029,-0.1
1030,-0.30000000000000004
1031,3.7
1032,-0.7
1033,-0.7
1034,3.4
1035,-0.4
1036,-0.4
1037,3.7
1038,-0.4
1039,3.6
1040,4.0
1041,3.7
1042,-0.7
1043,-0.4
1044,-0.30000000000000004
1045,-0.4
1046,-0.4
1047,-0.30000000000000004
1048,-0.30000000000000004
1049,-0.5
1050,3.8
1051,-0.5
1052,3.6
1053,-0.2
1054,-0.4
1055,3.7
1056,-0.2
1057,3.9
1058,-0.2
1059,-0.4
1060,-0.7999999999999999
1061,3.9
1062,-0.4
1063,-0.30000000000000004
1064,3.7
1065,3.8
1066,3.7
1067,-0.5
1068,-0.2
1069,3.7
1070,-0.7999999999999999
1071,-0.7999999999999999
1072,3.4
1073,3.7
1074,3.5
1075,3.7
1076,3.7
1077,-0.2
1078,3.5
1079,-0.2
1080,3.7
1081,-0.4
1082,-0.4
1083,3.6
1084,-0.30000000000000004
1085,-0.5
1086,3.7
1087,3.6
1088,-0.4
1089,3.1
1090,3.6
1091,-0.5
1092,3.7
1093,-0.7
1094,-0.2
1095,3.6
1096,-0.30000000000000004
1097,-0.6
1098,-0.5
1099,3.8
1100,3.8
1101,-0.5
1102,-0.5
1103,-0.8999999999999999
1104,3.9
1105,-0.2
1106,-0.6
1107,-0.4
1108,-0.7
1109,3.4
1110,-0.6
1111,-0.30000000000000004
1112,-0.2
1113,3.5
1114,3.7
1115,-0.30000000000000004
1116,3.8
1117,-0.30000000000000004
1118,-0.5
1119,3.9
1120,3.6
1121,-0.4
1122,3.6
1123,-0.2
1124,-0.4
1125,3.9
1126,3.6
1127,3.8
1128,-0.1
1129,3.7
1130,3.8
1131,-0.2
1132,3.9
1133,-0.30000000000000004
1134,3.8
1135,-0.30000000000000004
1136,3.5
1137,-0.7999999999999999
1138,-0.4
1139,-0.6
1140,-0.6
1141,-0.7999999999999999
1142,-0.30000000000000004
1143,3.6
1144,3.7
1145,3.4
1146,3.7
1147,-0.5
1148,3.6
1149,3.8
1150,3.6
1151,-0.30000000000000004
1152,3.3
1153,3.6
1154,-0.4
1155,3.9
1156,3.5
1157,3.8
1158,-0.6
1159,-0.5
1160,-0.5
1161,-0.4
1162,3.6
1163,3.5
1164,3.7
1165,3.8
1166,3.5
1167,-0.5
1168,2.5999999999999996
1169,-0.4
1170,-1.6000000000000003
1171,3.8
1172,-0.7
1173,-0.6
1174,4.0
1175,3.7
1176,3.5
1177,-0.30000000000000004
1178,-0.30000000000000004
1179,3.9
1180,-0.2
1181,3.9
1182,-0.6
1183,3.4
1184,-0.30000000000000004
1185,3.6
1186,3.5
1187,-0.6
1188,4.0
1189,3.7
1190,4.0
1191,-0.6
1192,3.6
1193,-0.5
1194,3.8
1195,-0.7
1196,-0.4
1197,3.6
1198,3.8
1199,-0.4
1200,-0.4
1201,-0.6
1202,3.4
1203,3.8
1204,-0.1
1205,-0.5
1206,-0.2
1207,4.0
1208,-0.5
1209,3.5
1210,3.6
1211,-0.7
1212,3.4
1213,-0.4
1214,-0.6
1215,-0.30000000000000004
1216,3.8
1217,3.7
1218,3.6
1219,3.6
1220,3.6
1221,-0.30000000000000004
1222,3.9
1223,-0.5
1224,3.8
1225,-0.6
1226,3.8
1227,-0.30000000000000004
1228,-0.2
1229,3.8
1230,3.7
1231,-0.5
1232,-0.4
1233,3.7
1234,-0.7999999999999999
1235,-0.7
1236,3.1
1237,-0.5
1238,-0.2
1239,-0.8999999999999999
1240,-0.7
1241,3.2
1242,-0.7999999999999999
1243,3.8
1244,-0.5
1245,-0.4
1246,-0.5
1247,-0.30000000000000004
1248,3.6
1249,3.6
1250,-0.30000000000000004
1251,3.5
1252,4.0
1253,3.7
1254,3.9
1255,-0.5
1256,-0.5
1257,3.7
1258,3.8
1259,-0.30000000000000004
1260,-0.4
1261,3.6
1262,3.6
1263,3.7
1264,3.7
1265,3.6
1266,-0.2
1267,3.5
1268,-0.4
1269,-0.7999999999999999
1270,3.7
1271,3.8
1272,3.8
1273,-0.5
1274,-0.7
1275,-0.2
1276,-0.4
1277,-0.6
1278,3.4
1279,-0.2
1280,-0.7999999999999999
1281,3.9
1282,-0.1
1283,3.4
1284,4.0
1285,-0.8999999999999999
1286,-0.4
1287,3.7
1288,3.6
1289,-0.30000000000000004
1290,-0.30000000000000004
1291,3.9
1292,3.8
1293,-0.4
1294,-0.30000000000000004
1295,-0.5
1296,3.8
1297,-0.2
1298,3.5
1299,-0.30000000000000004
1300,-0.30000000000000004
1301,-0.2
1302,-0.4
1303,3.9
1304,4.0
1305,3.8
1306,-0.6
1307,3.7
1308,-0.5
1309,-0.30000000000000004
1310,3.5
1311,3.6
1312,3.7
1313,-0.4
1314,-0.5
1315,-0.5
1316,4.0
1317,3.9
1318,3.7
1319,3.6
1320,3.7
1321,3.7
1322,-0.4
1323,3.4
1324,-0.5
1325,3.9
1326,-0.4
1327,-0.1
1328,3.7
1329,3.5
1330,-0.30000000000000004
1331,-0.6
1332,-0.5
1333,-0.5
1334,-0.6
1335,-0.2
1336,-0.4
1337,-0.30000000000000004
1338,3.7
1339,-0.30000000000000004
1340,-0.30000000000000004
1341,3.8
1342,-0.7999999999999999
1343,-0.1
1344,3.7
1345,-0.2
1346,3.6
1347,-0.6
1348,-0.30000000000000004
1349,3.4
1350,3.6
1351,-0.5
1352,-0.4
1353,3.8
1354,3.9
1355,3.9
1356,-0.7
1357,3.6
1358,3.8
1359,-0.5
1360,3.5
1361,-0.5
1362,3.9
1363,3.8
1364,3.8
1365,3.5
1366,3.6
1367,-0.5
1368,-0.4
1369,3.7
1370,3.2
1371,-0.4
1372,-0.2
1373,3.7
1374,3.6
1375,3.9
1376,-0.5
1377,3.6
1378,3.6
1379,-1.3
1380,-0.4
1381,-2.0000000000000004
1382,-2.400000000000001
1383,-1.4000000000000001
1384,-1.5000000000000002
1385,-1.5000000000000002
1386,-0.5
1387,-1.5000000000000002
1388,-0.30000000000000004
1389,-0.5
1390,-0.5
1391,-0.7999999999999999
1392,-0.7
1393,3.3
1394,-0.30000000000000004
1395,-0.30000000000000004
1396,-0.1
1397,3.4
1398,-0.4
1399,3.8
1400,3.6
1401,-0.4
1402,-0.4
1403,3.3
1404,-0.2
1405,4.0
1406,-0.2
1407,3.4
1408,-0.4
1409,-0.4
1410,-0.2
1411,-0.6
1412,3.5
1413,-0.5
1414,-0.6
1415,3.2
1416,-0.2
1417,3.8
1418,-0.6
1419,3.6
1420,-0.7999999999999999
1421,-0.30000000000000004
1422,-0.5
1423,-0.6
1424,-0.7
1425,-0.4
1426,3.1
1427,3.6
1428,-0.30000000000000004
1429,3.8
1430,-0.30000000000000004
1431,3.7
1432,3.7
1433,4.0
1434,3.6
1435,3.4
1436,-0.4
1437,-0.5
1438,3.6
1439,3.7
1440,-0.5
1441,3.3
1442,3.6
1443,-0.7
1444,3.6
1445,3.7
1446,3.9
1447,-0.7
1448,-0.5
1449,3.4
1450,-0.1
1451,-0.6
1452,3.6
1453,-0.2
1454,3.8
1455,4.0
