episode,score
1000,1.868
2000,2.1959999999999997
3000,1.868
4000,2.073
5000,1.7040000000000004
6000,1.9909999999999999
7000,2.0
8000,1.9500000000000002
9000,1.95
10000,2.032
11000,1.54
12000,1.663
13000,1.909
14000,2.032
15000,2.1959999999999997
16000,1.868
17000,1.8270000000000002
18000,2.237
19000,1.82
20000,2.196
21000,-0.09999999999999998
22000,2.0279999999999996
23000,1.98
24000,1.827
25000,2.032
26000,1.663
27000,1.786
28000,1.7449999999999997
29000,1.868
30000,1.9
31000,1.82
32000,1.9910000000000003
33000,2.155
34000,1.786
35000,1.622
36000,2.114
37000,-6.635000000000009
38000,3.899999999999998
39000,1.8270000000000002
40000,-0.09999999999999998
41000,1.78
42000,1.98
