episode,score
1000,-24.190000000000076
2000,-24.280000000000086
3000,-24.280000000000086
4000,1.6800000000000006
5000,-13.344000000000046
6000,-13.592000000000043
7000,-13.592000000000043
8000,-12.104000000000042
9000,-11.662000000000036
10000,-11.85600000000004
11000,1.75
12000,-12.640200000000041
13000,-10.380000000000035
14000,-8.619000000000034
15000,-8.340800000000032
16000,-0.2640000000000006
17000,2.744999999999999
18000,-9.68300000000004
19000,3.899999999999998
20000,-12.573000000000043
21000,3.845999999999999
22000,3.8529999999999998
23000,3.899999999999998
