episode,score
1000,1.6560000000000001
2000,1.505
3000,1.505
4000,1.8
5000,1.82
6000,1.9080000000000001
7000,1.9080000000000001
8000,1.68
9000,1.925
10000,3.7840000000000007
11000,1.785
12000,1.6560000000000001
13000,1.68
14000,1.89
15000,3.7920000000000003
16000,1.6170000000000002
17000,1.5479999999999998
18000,1.692
19000,1.944
20000,1.9609999999999996
21000,1.855
22000,1.82
23000,2.232
24000,1.855
25000,1.9800000000000002
26000,-8.240000000000014
27000,3.9459999999999993
28000,3.1839999999999993
29000,3.295
30000,-7.956000000000009
31000,3.087999999999999
