episode,score
1000,-2.582799999999989
2000,-2.4999999999999907
3000,-2.4999999999999907
4000,-2.4999999999999907
5000,-2.4999999999999907
6000,1.3540000000000003
7000,1.4360000000000002
8000,1.518
9000,1.5590000000000002
10000,1.19
11000,1.046
12000,1.805
13000,1.146
14000,1.6820000000000002
15000,1.5579999999999996
16000,1.3950000000000002
17000,1.805
18000,1.2719999999999998
19000,-8.765500000000024
20000,-10.672000000000024
21000,3.649999999999998
22000,3.649999999999998
23000,3.649999999999998
24000,1.6410000000000005
25000,3.649999999999998
