episode,reward
0,-2.8199999999999914
1,-23.29000000000007
2,-23.20000000000006
3,-23.200000000000063
4,-23.29000000000007
5,-23.29000000000007
6,-11.019999999999976
7,-23.110000000000063
8,-23.110000000000067
9,-22.75000000000006
10,-0.2
11,-0.2
12,-0.30000000000000004
13,-0.32000000000000006
14,3.9
15,-0.4
16,3.7
17,-0.30000000000000004
18,-0.32000000000000006
19,-0.30000000000000004
20,-0.2
21,-0.30000000000000004
22,3.48
23,3.9
24,-0.30000000000000004
25,-0.2
26,3.78
27,-0.4
28,3.88
29,-0.2
30,-0.32
31,3.56
32,3.9
33,-0.21999999999999997
34,-0.21999999999999997
35,-0.21999999999999997
36,3.9
37,-0.2
38,-0.2
39,-0.30000000000000004
40,3.8
41,3.7
42,-0.30000000000000004
43,-0.4
44,-0.30000000000000004
45,3.9
46,3.9
47,-0.2
48,3.9
49,-0.4
50,3.9
51,3.7800000000000002
52,-0.21999999999999997
53,3.7
54,3.9
55,3.9
56,-0.2
57,-0.2
58,3.78
59,-0.40000000000000013
60,3.9
61,-0.2
62,3.8
63,3.9
64,-0.2
65,3.88
66,3.9
67,3.76
68,3.9
69,-0.2
70,-0.30000000000000004
71,3.9
72,-0.30000000000000004
73,3.6599999999999997
74,-0.2
75,-0.32
76,3.86
77,3.6799999999999997
78,-0.4
79,3.78
80,-0.62
81,3.84
82,3.78
83,-0.2
84,-0.2
85,-0.32000000000000006
86,-0.2
87,3.86
88,-0.2
89,3.9
90,3.9
91,3.7
92,3.9
93,-0.2
94,-0.2
95,-0.2
96,3.8
97,3.8
98,-0.30000000000000004
99,3.9
100,3.88
101,-22.750000000000068
102,3.9
103,-0.2
104,-2.4199999999999937
105,3.9
106,3.9
107,-5.939999999999994
108,-0.2
109,-23.200000000000063
110,1.1999999999999988
111,-23.110000000000063
112,-0.2
113,3.9
114,3.9
115,3.9
116,-13.29999999999998
117,-0.2
118,-8.65999999999997
119,1.0999999999999988
120,-0.2
121,-0.2
122,-15.180000000000003
123,-11.31999999999996
124,-0.2
125,3.8
126,2.8
127,-5.85999999999998
128,-23.29000000000007
129,-1.8200000000000005
130,-7.019999999999991
131,0.29999999999999805
132,-22.570000000000057
133,0.15999999999999837
134,-23.830000000000073
135,-13.599999999999966
136,3.9
137,-4.4199999999999875
138,-0.2
139,-22.75000000000006
140,3.9
141,-23.11000000000006
142,-22.30000000000005
143,3.9
144,-0.10000000000000231
145,3.2
146,-0.7
147,-23.47000000000007
148,-0.2
149,0.27999999999999803
150,-22.93000000000006
151,-3.320000000000001
152,-22.93000000000006
153,2.3999999999999995
154,-20.660000000000032
155,-23.830000000000073
156,-0.2
157,-23.02000000000006
158,-0.21999999999999997
159,-0.2
160,3.9
161,-0.2
162,3.8
163,-0.21999999999999997
164,-0.2
165,-0.32000000000000006
166,3.38
167,-0.4
168,-0.30000000000000004
169,3.9
170,3.88
171,-0.2
172,3.9
173,-0.2
174,-0.2
175,-0.21999999999999997
176,3.88
177,3.78
178,3.9
179,-0.2
180,3.78
181,-0.34
182,3.9
183,3.9
184,-0.42000000000000004
185,3.6799999999999997
186,3.8
187,-0.2
188,-0.4
189,3.9
190,-0.30000000000000004
191,3.88
192,3.9
193,-0.2
194,-0.4
195,-0.21999999999999997
196,-0.2
197,-0.2
198,-0.30000000000000004
199,-0.2
200,3.8
201,3.9
202,-0.7000000000000001
203,-0.2
204,3.8
205,-0.2
206,-0.42000000000000004
207,-0.21999999999999997
208,3.7
209,3.8
210,-0.2
211,3.9
212,-0.30000000000000004
213,3.9
214,3.9
215,-0.30000000000000004
216,-0.2
217,3.9
218,-0.30000000000000004
219,-0.30000000000000004
220,-0.2
221,-0.30000000000000004
222,3.8
223,-0.2
224,3.8
225,-0.2
226,3.9
227,3.9
228,3.9
229,-0.2
230,-0.30000000000000004
231,-0.30000000000000004
232,-0.32
233,-0.2
234,-0.21999999999999997
235,-0.2
236,3.9
237,3.9
238,3.9
239,3.9
240,3.8
241,-0.30000000000000004
242,-0.2
243,3.6
244,3.9
245,3.78
246,3.9
247,3.7
248,3.8
249,-0.30000000000000004
250,3.9
251,-0.2
252,-0.2
253,3.9
254,-0.2
255,-0.30000000000000004
256,-0.30000000000000004
257,3.8
258,-0.30000000000000004
259,-0.21999999999999997
260,3.9
261,3.9
262,3.86
263,3.9
264,-0.2
265,3.88
266,-0.21999999999999997
267,3.9
268,-0.30000000000000004
269,3.9
270,-0.2
271,3.9
272,3.8
273,3.9
274,-0.30000000000000004
275,3.9
276,-0.2
277,-0.30000000000000004
278,-0.30000000000000004
279,-0.30000000000000004
280,3.7
281,-0.2
282,-0.2
283,3.7
284,-0.2
285,3.9
286,-0.2
287,-0.2
288,-0.31999999999999995
289,-0.30000000000000004
290,3.7
291,3.9
292,-0.21999999999999997
293,-0.2
294,-0.30000000000000004
295,3.7
296,3.88
297,3.8
298,-0.30000000000000004
299,3.9
300,3.8
301,-0.2
302,-0.2
303,-0.8
304,-0.2
305,-0.2
306,-0.2
307,-0.2
308,-0.3400000000000001
309,3.9
310,3.8
311,-0.2
312,-0.2
313,3.78
314,3.9
315,3.9
316,3.9
317,3.8
318,3.7
319,-0.2
320,-0.2
321,3.9
322,-0.2
323,-0.30000000000000004
324,3.7
325,-0.2
326,-0.21999999999999997
327,-0.30000000000000004
328,-0.30000000000000004
329,3.8
330,-0.2
331,-0.2
332,3.88
333,3.9
334,-0.2
335,-0.2
336,3.9
337,-0.42000000000000004
338,-0.30000000000000004
339,3.8
340,-0.4
341,3.9
342,3.9
343,3.88
344,-0.6
345,3.8
346,3.9
347,3.9
348,-0.24
349,3.88
350,3.5999999999999996
351,3.88
352,-0.30000000000000004
353,-0.3400000000000001
354,3.9
355,3.78
356,3.9
357,3.9
358,3.8
359,3.66
360,-0.2
361,-0.44000000000000006
362,-0.2
363,-0.2
364,-4.839999999999976
365,-0.2
366,3.7800000000000002
367,-0.4
368,-0.2
369,3.8
370,3.9
371,3.8
372,-0.2
373,-0.4
374,-0.42000000000000004
375,-0.2
376,3.8
377,-0.30000000000000004
378,3.88
379,-0.2
380,3.8
381,-0.4
382,3.9
383,-0.2
384,3.8
385,-0.2
