episode,reward
0,3.8
1,3.7
2,3.9
3,3.9
4,3.8
5,3.7
6,3.8
7,4
8,3.8
9,3.7
10,3.8
11,3.6
12,3.8
13,3.9
14,3.9
15,3.9
16,4
17,3.8
18,3.8
19,3.9
20,3.8
21,3.8
22,3.7
23,3.6
24,-0.2
25,3.8
26,3.9
27,3.7
28,3.6
29,3.6
30,3.9
31,4
32,3.6
33,3.9
34,3.9
35,3.9
36,3.8
37,3.6
38,3.9
39,4
40,3.8
41,3.8
42,3.6
43,3.6
44,4
45,3.9
46,3.9
47,4
48,3.8
49,3.8
50,3.9
51,4
52,4
53,4
54,3.8
55,3.7
56,3.8
57,3.8
58,3.9
59,3.9
60,3.8
61,3.6
62,3.9
63,3.9
64,4
65,3.8
66,3.8
67,3.8
68,3.7
69,3.9
70,3.7
71,3.7
72,4
73,3.9
74,4
75,3.9
76,4
77,3.9
78,3.8
79,-0.30000000000000004
80,3.8
81,3.8
82,4
83,-0.2
84,3.8
85,3.6
86,3.8
87,3.7
88,3.8
89,-0.1
90,3.8
91,3.9
92,3.9
93,3.5
94,3.7
95,3.7
96,3.7
97,3.8
98,3.9
99,3.9
100,3.9
101,3.7
102,3.8
103,3.9
104,3.9
105,4
106,3.7
107,3.8
108,-0.5
109,3.8
110,3.8
111,3.7
112,3.6
113,3.9
114,3.8
115,4
116,3.7
117,3.7
118,3.8
119,3.8
120,4
121,4
122,3.7
123,3.9
124,3.7
125,3.9
126,3.7
127,3.7
128,4
129,3.7
130,3.6
131,3.7
132,3.7
133,3.9
134,3.7
135,3.7
136,3.9
137,4
138,3.9
139,3.9
140,3.9
141,4
142,3.9
143,4
144,3.6
145,4
146,3.9
147,3.8
148,3.7
149,3.8
150,3.9
151,3.7
152,3.8
153,3.9
154,3.7
155,3.9
156,3.9
157,3.7
158,3.8
159,3.6
160,3.5
161,3.9
162,3.9
163,3.6
164,3.7
165,3.6
166,3.9
167,3.9
168,-0.4
169,3.8
170,3.7
171,4
172,3.6
173,3.9
174,3.9
175,3.9
176,3.9
177,4
178,3.6
179,3.7
180,3.9
181,3.7
182,3.5
183,3.8
184,3.9
185,3.9
186,3.8
187,3.7
188,3.9
189,3.9
190,3.8
191,3.8
192,3.9
193,-0.30000000000000004
194,3.8
195,3.7
196,3.9
197,3.9
198,3.8
199,3.8
200,3.7
201,3.9
202,3.9
203,3.8
204,4
205,3.8
206,3.8
207,3.8
208,4
209,3.9
210,3.8
211,3.9
212,3.9
213,3.9
214,3.5
215,4
216,3.9
217,3.7
218,3.9
219,3.9
220,3.3
221,3.9
222,3.9
223,3.9
224,3.9
225,3.9
226,3.9
227,3.9
228,3.8
229,4
230,3.9
231,3.9
232,4
233,3.9
234,3.9
235,3.9
236,3.9
237,3.9
238,3.6
239,3.9
240,3.8
241,3.7
242,3.8
243,3.9
244,3.8
245,4
246,3.9
247,3.8
248,3.6
249,3.7
250,4
251,3.7
252,4
253,3.9
254,3.9
255,3.9
256,3.8
257,4
258,3.8
259,3.9
260,3.8
261,3.7
262,3.9
263,3.9
264,3.8
265,3.5
266,3.9
267,3.7
268,3.9
269,3.6
270,3.8
271,3.8
272,3.9
273,3.6
274,-0.30000000000000004
275,3.8
276,3.8
277,3.9
278,4
279,3.7
280,3.8
281,3.9
282,3.8
283,3.9
284,3.7
285,3.9
286,3.9
287,3.6
288,3.6
289,3.8
290,3.8
291,3.8
292,3.9
293,3.9
294,3.9
295,-0.5
296,3.6
297,3.9
298,3.8
299,3.9
300,3.7
301,3.8
302,3.9
303,4
304,3.6
305,3.9
306,3.6
307,3.9
308,3.8
309,3.4
310,3.9
311,3.8
312,3.8
313,3.9
314,3.9
315,3.8
316,3.7
317,4
318,3.7
319,3.8
320,4
321,3.9
322,4
323,3.6
324,3.9
325,4
326,3.5
327,-0.5
328,3.7
329,3.6
330,4
331,3.9
332,3.7
333,3.6
334,3.6
335,3.8
336,3.9
337,4
338,3.6
339,3.8
340,3.8
341,3.9
342,3.8
343,4
344,3.9
345,3.8
346,3.8
347,-0.30000000000000004
348,-0.4
349,3.9
350,3.8
351,3.7
352,3.9
353,3.8
354,-0.30000000000000004
355,3.9
356,3.9
357,3.6
358,3.6
359,4
360,3.8
361,3.8
362,4
363,4
364,3.9
365,3.8
366,4
367,3.9
368,3.6
369,3.9
370,3.7
371,3.8
372,3.9
373,3.9
374,3.8
375,3.9
376,3.8
377,3.4
378,3.6
379,3.5
380,-0.30000000000000004
381,3.6
382,3.8
383,3.9
384,3.7
385,3.7
386,3.8
387,3.8
388,3.9
389,3.9
390,3.9
391,3.8
392,3.3
393,3.7
394,3.7
395,3.8
396,3.9
397,4
398,3.9
399,3.9
400,3.9
401,3.7
402,3.7
403,3.7
404,3.9
405,3.5
406,-0.1
407,3.8
408,3.9
409,3.8
410,3.7
411,3.4
412,3.8
413,3.9
414,3.7
415,3.7
416,3.8
417,3.7
418,3.7
419,3.6
420,3.7
421,3.7
422,3.8
423,-0.5
424,3.6
425,3.9
426,3.6
427,3.8
428,3.7
429,3.8
430,3.9
431,3.8
432,3.6
433,3.9
434,3.6
435,3.6
436,3.6
437,3.7
438,3.6
439,3.9
440,3.6
441,3.9
442,3.8
443,3.6
444,3.8
445,3.9
446,3.4
447,3.9
448,4
449,3.9
450,4
451,3.8
452,3.9
453,3.7
454,-0.2
455,4
456,3.6
457,3.9
458,3.8
459,3.6
460,3.9
461,3.9
462,3.8
463,3.9
464,3.9
465,3.7
466,3.9
467,4
468,4
469,3.4
470,4
471,4
472,3.9
473,3.5
474,3.9
475,3.8
476,3.9
477,3.6
478,3.9
479,4
480,3.7
481,3.6
482,4
483,-0.2
484,3.5
485,3.8
486,4
487,3.8
488,3.3
489,3.6
490,3.9
491,3.8
492,3.9
493,3.7
494,3.7
495,3.9
496,3.7
497,3.8
498,3.7
499,3.8
500,3.7
501,3.9
502,4
503,-0.7
504,3.8
505,3.9
506,3.7
507,4
508,3.7
509,3.8
510,3.5
511,3.9
512,3.6
513,3.8
514,3.7
515,3.9
516,3.8
517,-0.4
518,3.7
519,3.9
520,3.8
521,3.8
522,3.9
523,3.7
524,3.9
525,3.8
526,3.6
527,3.7
528,3.8
529,3.9
530,3.9
531,3.8
532,4
533,3.9
534,3.8
535,3.7
536,4
537,3.8
538,3.8
539,3.9
540,3.9
541,3.9
542,3.8
543,3.9
544,4
545,3.8
546,3.7
547,3.5
548,3.6
549,4
550,3.9
551,3.6
552,4
553,3.7
554,3.7
555,-0.2
556,3.8
557,3.7
558,3.6
559,3.8
560,3.8
561,3.9
562,3.6
563,3.7
564,3.6
565,3.8
566,3.5
567,3.7
568,3.7
569,3.9
570,3.8
571,4
572,3.7
573,4
574,3.7
575,3.7
576,3.8
577,3.8
578,3.7
579,3.7
580,3.5
581,3.6
582,3.4
583,4
584,3.7
585,3.8
586,3.6
587,3.8
588,3.6
589,3.6
590,3.8
591,3.9
592,-0.30000000000000004
593,3.9
594,3.9
595,-5.399999999999997
596,3.9
597,3.9
598,3.8
599,3.6
600,3.9
601,3.6
602,3.9
603,3.8
604,3.7
605,3.9
606,3.8
607,3.7
608,3.8
609,3.6
610,3.8
611,3.6
612,3.8
613,3.7
614,3.7
615,3.9
616,3.8
617,3.9
618,3.8
619,3.7
620,3.7
621,4
622,3.7
623,3.8
624,4
625,3.9
626,3.9
627,4
628,3.9
629,3.5
630,4
631,3.7
632,3.7
633,4
634,4
635,3.8
636,3.9
637,3.8
638,3.7
639,3.8
640,4
641,3.9
642,4
643,4
644,3.9
645,3.9
646,3.8
647,3.9
648,4
649,3.9
650,4
651,3.9
652,3.8
653,3.8
654,3.6
655,3.9
656,3.7
657,3.8
658,3.9
659,4
660,-0.30000000000000004
661,3.7
662,4
663,3.9
664,3.7
665,3.6
666,3.9
667,3.9
668,3.8
669,3.6
670,3.9
671,3.7
672,3.9
673,3.8
674,-0.1
675,3.8
676,3.8
677,4
678,3.7
679,-0.30000000000000004
680,3.9
681,3.9
682,3.8
683,3.6
684,3.9
685,4
686,3.9
687,4
688,-0.2
689,3.9
690,3.7
691,3.9
692,3.5
693,3.8
694,-0.2
695,3.8
696,3.8
697,3.8
698,3.9
699,3.8
700,3.8
701,3.9
702,3.8
703,3.8
704,3.6
705,4
706,3.9
707,3.9
708,3.9
709,4
710,3.9
711,3.8
712,3.9
713,3.8
714,3.9
715,3.5
716,4
717,4
718,4
719,3.6
720,3.8
721,3.5
722,4
723,3.7
724,3.8
725,3.9
726,3.9
727,4
728,3.9
729,3.9
730,3.9
731,3.9
732,3.7
733,3.8
734,3.9
735,3.9
736,4
737,4
738,3.9
739,4
740,3.8
741,3.7
742,3.9
743,4
744,3.9
745,3.7
746,3.8
747,4
748,3.7
749,3.7
750,4
751,3.8
752,3.8
753,3.6
754,3.7
755,3.7
756,3.9
757,3.7
758,3.5
759,3.7
760,4
761,3.6
762,3.8
763,3.9
764,3.9
765,3.8
766,3.9
767,3.8
768,3.8
769,3.8
770,3.8
771,4
772,4
773,3.8
774,3.6
775,-0.4
776,3.8
777,3.6
778,-0.2
779,3.8
780,3.6
781,4
782,3.8
783,3.8
784,-0.1
785,3.7
786,3.9
787,3.8
788,3.9
789,3.6
790,3.8
791,4
792,3.9
793,3.9
794,3.3
795,3.9
796,3.8
797,3.7
798,3.9
799,3.8
800,3.7
801,3.9
802,3.9
803,3.9
804,3.9
805,4
806,3.9
807,3.9
808,-0.4
809,3.7
810,3.8
811,3.8
812,3.7
813,3.9
814,3.8
815,3.8
816,4
817,3.9
818,3.7
819,3.8
820,3.8
821,3.8
822,3.7
823,3.8
824,3.5
825,3.8
826,3.9
827,3.8
828,-0.2
829,3.7
830,4
831,3.9
832,3.7
833,4
834,3.7
835,3.7
836,3.9
837,3.9
838,4
839,4
840,4
841,3.6
842,3.9
843,4
844,4
845,3.9
846,3.8
847,3.7
848,3.9
849,3.7
850,3.6
851,4
852,3.8
853,3.7
854,4
855,4
856,3.9
857,3.8
858,4
859,3.5
860,-0.30000000000000004
861,4
862,3.8
863,3.9
864,3.9
865,3.8
866,3.9
867,3.9
868,3.9
869,4
870,3.8
871,3.7
872,-0.2
873,3.9
874,3.7
875,3.6
876,3.9
877,3.8
878,3.8
879,3.8
880,3.9
881,3.9
882,3.9
883,3.8
884,4
885,4
886,3.9
887,3.9
888,3.8
889,4
890,3.8
891,3.8
892,3.8
893,3.8
894,4
895,3.5
896,3.9
897,3.8
898,3.7
899,4
900,4
901,4
902,3.8
903,3.9
904,3.7
905,3.7
906,3.2
907,3.9
908,3.6
909,4
910,3.6
911,3.8
912,3.7
913,3.9
914,3.9
915,3.9
916,3.8
917,-0.1
918,3.9
919,3.9
920,3.8
921,3.7
922,3.7
923,3.9
924,3.6
925,3.6
926,3.8
927,4
928,3.7
929,4
930,3.6
931,3.8
932,-0.2
933,3.8
934,3.7
935,3.8
936,3.8
937,3.7
938,3.8
939,4
940,3.9
941,-0.4
942,3.8
943,4
944,3.9
945,3.8
946,3.2
947,3.7
948,3.9
949,4
950,3.9
951,3.6
952,4
953,3.9
954,3.8
955,4
956,3.7
957,3.9
958,3.7
959,3.9
960,3.9
961,3.9
962,3.8
963,3.9
964,4
965,3.8
966,3.8
967,3.9
968,3.8
969,3.9
970,3.8
971,3.8
972,4
973,3.9
974,3.8
975,3.8
976,3.9
977,3.9
978,3.7
979,3.8
980,3.8
981,3.7
982,3.8
983,3.9
984,3.8
985,3.8
986,3.6
987,3.8
988,3.8
989,3.8
990,3.8
991,4
992,3.7
993,3.5
994,3.9
995,3.8
996,3.8
997,3.8
998,3.2
999,3.8
1000,-1.0999999999999999
1001,4
1002,3.2
1003,3.9
1004,4
1005,3.8
1006,3.8
1007,3.7
1008,3.6
1009,3.9
1010,3.9
1011,-0.7999999999999999
1012,3.8
1013,3.9
1014,4
1015,3.9
1016,3.6
1017,3.7
1018,3.8
1019,3.9
1020,3.6
1021,3.8
1022,3.8
1023,3.9
1024,4
1025,3.7
1026,3.9
1027,3.7
1028,3.9
1029,3.9
1030,3.6
1031,4
1032,3.5
1033,3.8
1034,3.8
1035,3.6
1036,3.9
1037,3.8
1038,3.7
1039,3.9
1040,3.8
1041,3.8
1042,3.7
1043,3.9
1044,3.8
1045,3.7
1046,3.7
1047,3.8
1048,3.9
1049,3.7
1050,4
1051,3.8
1052,3.6
1053,4
1054,3.8
1055,3.7
1056,3.9
1057,-0.30000000000000004
1058,-0.30000000000000004
1059,3.8
1060,3.7
1061,3.8
1062,4
1063,3.7
1064,3.9
1065,3.9
1066,3.9
1067,3.6
1068,3.9
1069,4
1070,3.9
1071,3.6
1072,3.8
1073,3.8
1074,3.3
1075,3.8
1076,-0.5
1077,3.9
1078,3.7
1079,3.9
1080,4
1081,3.9
1082,3.7
1083,3.9
1084,3.7
1085,3.9
1086,3.8
1087,3.8
1088,3.7
1089,3.6
1090,3.8
1091,3.8
1092,3.9
1093,3.7
1094,3.9
1095,3.9
1096,4
1097,-0.30000000000000004
1098,3.9
1099,3.8
1100,4
1101,3.7
1102,3.8
1103,3.7
1104,3.8
1105,4
1106,3.5
1107,3.7
1108,3.8
1109,3.7
1110,3.7
1111,3.8
1112,3.9
1113,3.5
1114,3.7
1115,3.4
1116,3.9
1117,3.9
1118,3.7
1119,3.9
1120,3.9
1121,3.8
1122,4
1123,3.7
1124,3.8
1125,4
1126,3.8
1127,3.8
1128,-0.1
1129,4
1130,3.9
1131,4
1132,3.7
1133,3.7
1134,3.8
1135,3.9
1136,4
1137,3.7
1138,3.6
1139,3.6
1140,3.9
1141,3.7
1142,4
1143,4
1144,3.8
1145,3.9
1146,3.5
1147,3.9
1148,3.8
1149,3.9
1150,3.9
1151,4
1152,3.9
1153,3.8
1154,3.8
1155,4
1156,3.8
1157,3.7
1158,3.9
1159,3.8
1160,3.8
1161,3.9
1162,3.9
1163,3.7
1164,3.9
1165,3.8
1166,3.8
1167,3.9
1168,3.8
1169,3.8
1170,3.9
1171,3.7
1172,3.8
1173,3.7
1174,3.8
1175,3.8
1176,3.8
1177,3.8
1178,3.6
1179,3.7
1180,3.7
1181,3.7
1182,3.7
1183,3.9
1184,3.9
1185,3.8
1186,3.7
1187,-0.4
1188,3.8
1189,3.8
1190,3.9
1191,3.7
1192,3.8
1193,3.9
1194,3.7
1195,3.6
1196,3.7
1197,-0.4
1198,3.8
1199,3.8
1200,3.8
1201,3.8
1202,3.9
1203,3.7
1204,3.8
1205,3.9
1206,3.9
1207,3.8
1208,3.9
1209,3.9
1210,3.5
1211,3.8
1212,3.7
1213,3.8
1214,3.8
1215,3.8
1216,3.6
1217,4
1218,3.7
1219,4
1220,4
1221,4
1222,4
1223,3.8
1224,3.8
1225,3.6
1226,3.7
1227,3.8
1228,3.9
1229,3.7
1230,3.6
1231,3.8
1232,3.8
1233,3.8
1234,3.9
1235,3.6
1236,3.5
1237,3.7
1238,3.7
1239,3.8
1240,3.8
1241,3.9
1242,3.9
1243,3.9
1244,4
1245,3.6
1246,3.8
1247,4
1248,-0.2
1249,4
1250,3.7
1251,3.7
1252,3.8
1253,3.9
1254,3.9
1255,3.5
1256,3.7
1257,3.5
1258,3.9
1259,3.8
1260,3.9
1261,3.9
1262,3.9
1263,3.8
1264,4
1265,3.7
1266,3.7
1267,3.6
1268,4
1269,3.8
1270,4
1271,-0.4
1272,3.9
1273,4
1274,3.8
1275,4
1276,3.9
1277,3.8
1278,4
1279,4
1280,4
1281,4
1282,4
1283,4
1284,3.8
1285,3.7
1286,4
1287,3.9
1288,4
1289,3.8
1290,3.6
1291,4
1292,3.9
1293,3.6
1294,3.8
1295,-0.30000000000000004
1296,3.8
1297,3.6
1298,3.9
1299,4
1300,3.5
1301,4
1302,3.9
1303,3.6
1304,3.8
1305,3.8
1306,3.6
1307,3.9
1308,3.8
1309,3.7
1310,3.9
1311,4
1312,3.8
1313,3.7
1314,3.9
1315,3.9
1316,4
1317,3.9
1318,3.6
1319,3.7
1320,3.8
1321,3.9
1322,3.9
1323,3.9
1324,3.8
1325,3.9
1326,3.8
1327,3.9
1328,3.9
1329,3.9
1330,3.5
1331,3.9
1332,3.8
1333,3.6
1334,3.7
1335,4
1336,3.8
1337,3.4
1338,4
1339,3.9
1340,4
1341,3.7
1342,3.7
1343,3.7
1344,3.9
1345,3.9
1346,3.9
1347,4
1348,3.7
1349,3.7
1350,3.7
1351,4
1352,3.9
1353,4
1354,4
1355,3.5
1356,3.9
1357,3.7
1358,3.8
1359,3.8
1360,3.7
1361,3.7
1362,3.7
1363,3.8
1364,3.8
1365,3.8
1366,3.7
1367,3.6
1368,3.9
1369,3.8
1370,4
1371,3.7
1372,3.9
1373,3.9
1374,3.9
1375,3.8
1376,4
1377,3.6
1378,3.9
1379,3.9
1380,4
1381,4
1382,3.9
1383,3.9
1384,3.6
1385,3.6
1386,3.8
1387,4
1388,3.8
1389,3.4
1390,3.6
1391,3.9
1392,3.7
1393,4
1394,3.9
1395,3.9
1396,3.8
1397,3.7
1398,4
1399,3.9
1400,3.8
1401,3.5
1402,4
1403,3.9
1404,3.8
1405,3.8
1406,3.8
1407,3.9
1408,3.7
1409,3.7
1410,4
1411,3.9
1412,3.8
1413,3.8
1414,3.9
1415,3.8
1416,3.6
1417,3.7
1418,3.7
1419,3.9
1420,3.9
1421,3.7
1422,3.8
1423,3.9
1424,3.7
1425,-0.5
1426,3.7
1427,3.6
1428,3.9
1429,4
1430,3.8
1431,3.9
1432,3.9
1433,4
1434,3.9
1435,3.9
1436,3.9
1437,3.8
1438,4
1439,3.7
1440,4
1441,3.9
1442,4
1443,3.8
1444,3.9
1445,3.9
1446,4
1447,3.9
1448,4
1449,3.9
1450,3.9
1451,4
1452,3.9
1453,4
1454,3.9
1455,-0.2
1456,3.9
1457,3.9
1458,3.9
1459,3.9
1460,4
1461,3.8
1462,3.8
1463,3.9
1464,4
1465,4
1466,3.9
1467,4
1468,4
1469,4
1470,3.7
1471,3.8
1472,4
1473,3.9
1474,3.7
1475,3.9
1476,3.8
1477,3.8
1478,3.6
1479,3.8
1480,3.9
1481,3.9
1482,4
1483,3.7
1484,-0.2
1485,3.5
1486,3.7
1487,3.8
1488,3.9
1489,3.6
1490,3.8
1491,3.9
1492,4
1493,4
1494,3.4
1495,3.8
1496,3.9
1497,-5.4999999999999964
1498,3.8
1499,3.5
1500,3.9
1501,3.9
1502,3.7
1503,3.7
1504,3.9
1505,4
1506,3.9
1507,3.7
1508,3.7
1509,3.9
1510,3.9
1511,3.8
1512,4
1513,3.7
1514,4
1515,3.8
1516,4
1517,3.8
1518,3.8
1519,4
1520,3.9
1521,4
1522,4
1523,3.7
1524,4
1525,3.8
1526,3.9
1527,3.6
1528,4
1529,3.9
1530,3.7
1531,3.6
1532,3.4
1533,3.9
1534,3.9
1535,4
1536,3.9
1537,3.8
1538,3.8
1539,3.6
1540,3.6
1541,3.7
1542,3.7
1543,3.5
1544,3.8
1545,3.7
1546,3.7
1547,3.9
1548,3.8
1549,3.9
1550,3.9
1551,3.8
1552,3.9
1553,3.7
1554,3.8
1555,3.4
1556,3.8
1557,3.9
1558,3.7
1559,3.9
1560,3.8
1561,3.8
1562,3.4
1563,4
1564,3.9
1565,3.6
1566,4
1567,3.6
1568,3.9
1569,3.8
1570,4
1571,3.9
1572,3.9
1573,3.8
1574,4
1575,3.9
1576,3.8
1577,3.6
1578,3.4
1579,3.9
1580,3.6
1581,3.9
1582,3.9
1583,3.9
1584,4
1585,3.8
1586,3.9
1587,3.9
1588,3.9
1589,3.7
1590,3.8
1591,3.8
1592,3.9
1593,3.9
1594,4
1595,3.6
1596,3.9
1597,-0.4
1598,3.8
1599,3.7
1600,3.9
1601,3.7
1602,-0.4
1603,3.8
1604,3.9
1605,3.8
1606,4
1607,3.8
1608,3.5
1609,-0.4
1610,4
1611,3.9
1612,3.7
1613,3.6
1614,3.8
1615,3.9
1616,3.8
1617,3.4
1618,-0.2
1619,4
1620,3.8
1621,3.8
1622,3.9
1623,3.8
1624,4
1625,3.7
1626,3.9
1627,3.5
1628,4
1629,4
1630,3.8
1631,3.5
1632,3.7
1633,3.8
1634,3.7
1635,3.9
1636,3.9
1637,3.8
1638,-0.4
1639,-0.30000000000000004
1640,3.9
1641,4
1642,3.9
1643,3.9
1644,3.9
1645,3.8
1646,3.6
1647,3.9
1648,3.9
1649,4
1650,3.8
1651,4
1652,3.9
1653,3.9
1654,3.8
1655,3.5
1656,4
1657,4
1658,3.7
1659,3.7
1660,3.9
1661,4
1662,4
1663,3.8
1664,3.7
1665,4
1666,3.8
1667,3.8
1668,3.4
1669,3.8
1670,3.7
1671,3.6
1672,3.8
1673,3.9
1674,3.8
1675,3.4
1676,3.9
1677,3.9
1678,4
1679,3.5
1680,3.9
1681,3.9
1682,3.9
1683,3.9
1684,3.9
1685,4
1686,3.6
1687,4
1688,4
1689,3.5
1690,3.7
1691,3.9
1692,3.7
1693,3.9
1694,3.8
1695,3.9
1696,3.8
1697,3.6
1698,3.6
1699,4
1700,3.9
1701,3.9
1702,4
1703,4
1704,3.8
1705,4
1706,3.8
1707,3.8
1708,3.9
1709,4
1710,4
1711,3.7
1712,3.7
1713,3.8
1714,3.9
1715,4
1716,3.5
1717,3.8
1718,3.8
1719,3.9
1720,3.8
1721,3.8
1722,4
1723,3.8
1724,3.7
1725,3.8
1726,3.8
1727,3.8
1728,4
1729,3.9
1730,3.7
1731,3.8
1732,3.9
1733,4
1734,3.7
1735,3.9
1736,3.8
1737,3.7
1738,4
1739,3.8
1740,3.7
1741,3.9
1742,3.8
1743,4
1744,3.6
1745,4
1746,3.7
1747,3.8
1748,3.9
1749,3.9
1750,3.5
1751,3.8
1752,-0.5
1753,3.7
1754,3.8
1755,3.8
1756,3.9
1757,3.5
1758,3.7
1759,3.8
1760,3.7
1761,3.7
1762,3.7
1763,3.9
1764,3.9
1765,3.7
1766,3.6
1767,3.7
1768,3.8
1769,3.6
1770,3.7
1771,3.7
1772,4
1773,3.5
1774,3.8
1775,3.8
1776,3.7
1777,3.8
1778,3.9
1779,3.9
1780,3.9
1781,4
1782,3.9
1783,3.8
1784,3.7
1785,3.8
1786,3.5
1787,3.8
1788,3.7
1789,4
1790,3.9
1791,3.8
1792,3.7
1793,3.7
1794,3.9
1795,4
1796,3.9
1797,-0.30000000000000004
1798,3.7
1799,4
1800,3.9
1801,3.9
1802,4
1803,3.6
1804,3.9
1805,3.7
1806,3.8
1807,3.8
1808,3.8
1809,3.8
1810,3.9
1811,4
1812,3.8
1813,3.9
1814,3.9
1815,3.8
1816,3.7
1817,3.8
1818,3.8
1819,3.7
1820,3.7
1821,3.9
1822,3.8
1823,3.8
1824,3.9
1825,3.6
1826,3.8
1827,3.8
1828,3.7
1829,3.6
1830,3.7
1831,3.7
1832,3.7
1833,3.9
1834,3.6
1835,3.9
1836,3.8
1837,3.9
1838,3.9
1839,3.9
1840,3.8
1841,3.6
1842,3.8
1843,-0.2
1844,3.5
1845,3.7
1846,3.8
1847,3.8
1848,-0.2
1849,4
1850,4
1851,3.9
1852,3.9
1853,3.8
1854,3.9
1855,3.9
1856,3.8
1857,3.8
1858,3.7
1859,3.9
1860,3.9
1861,3.9
1862,3.8
1863,3.8
1864,3.9
1865,-0.4
1866,4
1867,3.9
1868,-0.30000000000000004
1869,3.9
1870,3.9
1871,4
1872,3.8
1873,3.9
1874,3.6
1875,3.9
1876,4
1877,3.8
1878,3.9
1879,4
1880,-0.2
1881,3.9
1882,3.7
1883,3.9
1884,3.7
1885,3.7
1886,3.9
1887,3.9
1888,3.9
1889,3.9
1890,-0.1
1891,3.9
1892,4
1893,3.8
1894,3.9
1895,3.8
1896,4
1897,3.6
1898,3.8
1899,3.9
1900,4
1901,3.9
1902,3.8
1903,4
1904,3.7
1905,4
1906,3.7
1907,3.9
1908,3.8
1909,3.8
1910,3.8
1911,3.9
1912,3.9
1913,3.9
1914,3.9
1915,3.6
1916,3.7
1917,3.9
